connectionId,positive_similarity_results,negative_similarity_results
179076,"{'plezant': {'n_occurrences': 2, 'pairwise_sims': [0.9662918424140221], 'mean_sim': np.float64(0.9662918424140221)}, 'goed': {'n_occurrences': 4, 'pairwise_sims': [0.8992466392806207, 0.8509078896283315, 0.8010267558798857, 0.8860717351059775, 0.7941492459139655, 0.8521696233156143], 'mean_sim': np.float64(0.8472619815207326)}, 'zeker': {'n_occurrences': 2, 'pairwise_sims': [0.9420505776164931], 'mean_sim': np.float64(0.9420505776164931)}}",{}
179076,"{'goed': {'n_occurrences': 4, 'pairwise_sims': [0.858374425675677, 0.8537620971770898, 0.8693134011159827, 0.9805007381516574, 0.9253425566308641, 0.9196386381032511], 'mean_sim': np.float64(0.9011553094757536)}, 'leuk': {'n_occurrences': 2, 'pairwise_sims': [0.9102813670954037], 'mean_sim': np.float64(0.9102813670954037)}}",{}
179076,"{'oké': {'n_occurrences': 2, 'pairwise_sims': [0.9011681933427986], 'mean_sim': np.float64(0.9011681933427986)}, 'zalig': {'n_occurrences': 2, 'pairwise_sims': [0.9082551397201164], 'mean_sim': np.float64(0.9082551397201164)}, 'leuk': {'n_occurrences': 2, 'pairwise_sims': [0.9234435222898093], 'mean_sim': np.float64(0.9234435222898093)}}",{}
179076,"{'leuk': {'n_occurrences': 8, 'pairwise_sims': [0.6401515867703181, 0.5946251861178294, 0.5934908288162953, 0.6042058922431014, 0.6148271911161366, 0.6164645760965424, 0.6440292690005192, 0.9791120198323647, 0.9661032635366752, 0.9569700124667133, 0.9419211030206898, 0.8900813170400467, 0.8820691036250853, 0.995455858188459, 0.9863540865283251, 0.9692284076955123, 0.9114257943608095, 0.881085528186931, 0.9959040834922419, 0.9791538731092597, 0.9256878045902331, 0.881060308725502, 0.9891506179724401, 0.9392303692035734, 0.8861737192782014, 0.9625138602319515, 0.8990516693258781, 0.9087702170895977], 'mean_sim': np.float64(0.8583677695593296)}}",{}
179076,"{'energie': {'n_occurrences': 2, 'pairwise_sims': [0.9230651941654915], 'mean_sim': np.float64(0.9230651941654915)}, 'gezond': {'n_occurrences': 2, 'pairwise_sims': [0.8952962101727399], 'mean_sim': np.float64(0.8952962101727399)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.878250695964625], 'mean_sim': np.float64(0.878250695964625)}}","{'moe': {'n_occurrences': 3, 'pairwise_sims': [0.911798052105355, 0.9426023598554236, 0.9049524017284761], 'mean_sim': np.float64(0.9197842712297516)}}"
179076,"{'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.8106516407467941], 'mean_sim': np.float64(0.8106516407467941)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8653318185682272], 'mean_sim': np.float64(0.8653318185682272)}, 'aangenaam': {'n_occurrences': 2, 'pairwise_sims': [0.9215657281351378], 'mean_sim': np.float64(0.9215657281351378)}}",{}
179076,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8861988911377552], 'mean_sim': np.float64(0.8861988911377552)}}",{}
179076,"{'wakker': {'n_occurrences': 2, 'pairwise_sims': [0.963459107403899], 'mean_sim': np.float64(0.963459107403899)}, 'ça_va': {'n_occurrences': 2, 'pairwise_sims': [0.9763487074033971], 'mean_sim': np.float64(0.9763487074033971)}, 'leuk': {'n_occurrences': 2, 'pairwise_sims': [0.9202370054182754], 'mean_sim': np.float64(0.9202370054182754)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.947308422554614], 'mean_sim': np.float64(0.947308422554614)}}",{}
179076,"{'rustig': {'n_occurrences': 4, 'pairwise_sims': [0.9659843426268465, 0.9399307200763959, 0.9700302405945265, 0.9449630697403277, 0.9610556936091628, 0.9418250649992164], 'mean_sim': np.float64(0.9539648552744127)}, 'wakker': {'n_occurrences': 3, 'pairwise_sims': [0.9771635177291808, 0.9470584496280344, 0.95578711211989], 'mean_sim': np.float64(0.9600030264923683)}, 'goed': {'n_occurrences': 3, 'pairwise_sims': [0.8379123767298335, 0.8168329731769407, 0.9490134720350635], 'mean_sim': np.float64(0.8679196073139459)}}",{}
179076,"{'plezant': {'n_occurrences': 2, 'pairwise_sims': [0.9069012676227315], 'mean_sim': np.float64(0.9069012676227315)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9535619139548057], 'mean_sim': np.float64(0.9535619139548057)}}",{}
179076,"{'energie': {'n_occurrences': 2, 'pairwise_sims': [0.8931291738535595], 'mean_sim': np.float64(0.8931291738535595)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9319911626582035], 'mean_sim': np.float64(0.9319911626582035)}}",{}
179076,"{'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.8983657947050865], 'mean_sim': np.float64(0.8983657947050865)}, 'goed': {'n_occurrences': 4, 'pairwise_sims': [0.9592904570711656, 0.8437893605150097, 0.890148014479581, 0.8489172832331696, 0.8866082758646667, 0.9309630931513448], 'mean_sim': np.float64(0.8932860807191562)}}",{}
179076,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9044285781131035], 'mean_sim': np.float64(0.9044285781131035)}}",{}
179076,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.910759051792899], 'mean_sim': np.float64(0.910759051792899)}, 'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.8844280881522302], 'mean_sim': np.float64(0.8844280881522302)}, 'energie': {'n_occurrences': 2, 'pairwise_sims': [0.8767517638354698], 'mean_sim': np.float64(0.8767517638354698)}}",{}
179076,"{'goed': {'n_occurrences': 4, 'pairwise_sims': [0.8912046544542604, 0.9751164854382566, 0.8307006744258124, 0.895154604047526, 0.8865115643401593, 0.839293413491293], 'mean_sim': np.float64(0.8863302326995514)}, 'energie': {'n_occurrences': 2, 'pairwise_sims': [0.9105810676112516], 'mean_sim': np.float64(0.9105810676112516)}}",{}
179076,"{'plezant': {'n_occurrences': 2, 'pairwise_sims': [0.9618781308816757], 'mean_sim': np.float64(0.9618781308816757)}, 'goed': {'n_occurrences': 5, 'pairwise_sims': [0.9515216421802096, 0.9476793477221594, 0.9499462912439125, 0.9269896051750033, 0.9884658285610042, 0.9796207411882576, 0.9009033260833508, 0.9910342460192, 0.9067585123357095, 0.9208111239822127], 'mean_sim': np.float64(0.946373066449102)}}",{}
179076,{},{}
179076,"{'goed': {'n_occurrences': 4, 'pairwise_sims': [0.9296390945630956, 0.9366893650236553, 0.948000655924458, 0.9145989219067533, 0.9240339451528291, 0.9795171155609015], 'mean_sim': np.float64(0.9387465163552822)}}",{}
179076,"{'warm': {'n_occurrences': 2, 'pairwise_sims': [0.9074260072476705], 'mean_sim': np.float64(0.9074260072476705)}, 'zalig': {'n_occurrences': 2, 'pairwise_sims': [0.9830796112375768], 'mean_sim': np.float64(0.9830796112375768)}}",{}
179076,{},{}
